id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
74,Adrien Truffert,Truffert,Bournemouth,Defender,4.6,118,3.9,3.1,7.2,2658,0,2,9,43,3,0,12,428,617.8,400.7,98.0,111.7,23106,2701,687580,423840,a,,,6.7,7.7
75,Matai Akinmboni,Akinmboni,Bournemouth,Defender,3.8,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,66,14916,32658,a,100.0,,-0.5,0.5
76,Owen Bevan,Bevan,Bournemouth,Defender,3.8,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,141,15679,19810,a,,,-0.5,0.5
77,James Hill,Hill,Bournemouth,Defender,4.2,83,4.0,7.7,6.0,1382,0,3,6,16,2,0,2,276,406.8,95.2,85.0,58.9,8833,4681,1078862,174839,a,,,5.5,6.5
78,Julián Araujo Zúñiga,J.Araujo,Bournemouth,Defender,3.8,0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,215,47440,133333,u,0.0,has joined Celtic on loan for the rest of the season.,0.0,0.0
79,Chris Mepham,Mepham,Bournemouth,Defender,4.0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,1400,16745,u,0.0,has joined West Bromwich Albion permanently.,0.0,0.0
80,Julio Soler Barreto,Soler,Bournemouth,Defender,4.0,3,1.0,0.2,0.0,34,0,0,0,2,0,0,0,2,1.8,2.5,2.0,0.6,11,77,17443,33745,i,0.0,Hamstring injury - Expected back 01 Jun,0.0,0.0
81,Justin Kluivert,Kluivert,Bournemouth,Midfielder,6.9,40,2.2,0.6,0.0,914,2,0,4,18,4,0,3,147,146.6,304.1,128.0,57.8,32,149,190409,251690,i,0.0,Knee injury - Expected back 09 May,0.0,0.0
84,Marcus Tavernier,Tavernier,Bournemouth,Midfielder,5.4,107,4.1,2.2,3.2,2032,5,4,9,37,4,0,10,399,476.4,541.1,432.0,145.1,2798,3446,1013717,816201,a,100.0,,2.7,3.7
85,Tyler Adams,Adams,Bournemouth,Midfielder,4.9,60,3.3,0.3,2.5,1412,2,1,6,24,7,0,3,279,304.2,95.0,105.0,50.7,27,329,80735,93678,d,25.0,Knock - 25% chance of playing,0.5,3.0
86,David Brooks,Brooks,Bournemouth,Midfielder,5.0,47,2.0,0.2,0.8,1024,1,2,4,18,7,0,4,183,203.0,335.1,400.0,92.4,88,116,73213,78884,a,100.0,,0.3,1.3
87,Ryan Christie,Christie,Bournemouth,Midfielder,4.9,33,1.6,0.1,2.2,639,1,1,2,10,2,0,0,142,149.8,148.0,140.0,44.1,110,30,9988,15945,a,100.0,,1.7,2.7
88,Lewis Cook,Cook,Bournemouth,Midfielder,4.9,38,2.4,0.0,0.0,870,0,1,1,18,1,1,0,184,206.0,183.3,12.0,40.4,5,86,11745,10567,i,0.0,Hamstring injury - Expected back 11 Apr,0.0,0.0
89,Philip Billing,Philip,Bournemouth,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,598,6637,u,0.0,has joined Midtjylland permanently.,0.0,0.0
90,Alex Scott,Scott,Bournemouth,Midfielder,5.1,106,3.5,1.2,4.0,2218,2,2,9,34,3,0,6,462,449.4,324.1,267.0,103.6,959,2401,255500,116527,a,100.0,,3.5,4.5
91,Luis Sinisterra Lucumí,Sinisterra,Bournemouth,Midfielder,5.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,396,3899,u,0.0,has joined Cruzeiro on loan for the rest of the season.,0.0,0.0
92,Romain Faivre,Faivre,Bournemouth,Midfielder,4.5,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,4403,19720,u,0.0,has joined Auxerre permanently.,0.0,0.0
93,Hamed Traorè,H.Traorè,Bournemouth,Midfielder,4.5,4,4.0,0.3,0.0,16,0,1,0,2,0,0,0,12,21.2,10.0,0.0,3.1,0,44,114900,165562,u,0.0,has joined Marseille on loan for the rest of the season.,0.0,0.0
94,Dominic Sadi,Sadi,Bournemouth,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3895,8218,u,0.0,has joined Novi Pazar on loan for the rest of the season.,0.0,0.0
95,Zain Silcott-Duberry,Silcott-Duberry,Bournemouth,Midfielder,4.4,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,15405,21548,u,0.0,has joined Olympiakos permanently.,0.0,0.0
96,Ben Winterburn,Winterburn,Bournemouth,Midfielder,4.5,1,1.0,0.0,0.0,6,0,0,0,2,0,0,0,3,0.0,0.0,0.0,0.0,0,5,2964,10016,u,0.0,has joined Barnet on loan for the rest of the season.,0.0,0.0
97,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,Forward,6.8,89,3.2,2.2,3.0,2103,6,3,9,33,1,0,6,320,296.0,314.8,693.0,130.1,2016,4752,1126848,1120921,a,100.0,,2.5,3.5
98,Enes Ünal,Enes Ünal,Bournemouth,Forward,5.4,21,1.2,0.0,1.0,173,1,0,0,2,1,0,1,54,45.6,13.0,86.0,13.6,81,104,14189,11433,a,100.0,,0.5,1.5
99,Daniel Adu-Adjei,Adu-Adjei,Bournemouth,Forward,4.4,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,22144,44421,u,0.0,has joined HNK Rijeka permanently.,0.0,0.0
100,Junior Kroupi,Kroupi.Jr,Bournemouth,Forward,4.7,74,3.0,6.2,1.8,1131,8,0,6,18,3,0,7,337,351.2,250.8,365.0,96.7,3554,12917,1861973,1213630,a,,,1.3,2.3
391,Ben Gannon-Doak,Gannon-Doak,Bournemouth,Midfielder,4.8,7,1.8,0.0,0.0,53,0,1,0,1,0,0,0,22,21.2,14.0,11.0,4.7,11,4,4648,8108,a,100.0,,-0.5,0.0
685,Bafodé Diakité,Diakité,Bournemouth,Defender,4.2,46,2.6,0.3,0.0,1275,0,0,4,27,1,0,2,164,267.0,54.3,22.0,34.4,47,202,98593,96737,a,100.0,,-0.5,0.5
687,Remy Rees-Dottin,Rees-Dottin,Bournemouth,Midfielder,4.3,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,179,255,25483,20350,a,,,-0.5,0.5
697,Amine Adli,Adli,Bournemouth,Midfielder,5.4,61,2.3,0.4,1.5,952,3,2,3,14,2,0,4,225,257.2,220.5,243.0,71.5,70,2567,118274,64696,a,,,1.0,2.0
713,Álex Jiménez Sánchez,A.Jimenez,Bournemouth,Defender,4.5,64,2.5,0.3,4.2,1884,1,2,5,33,8,0,2,247,340.6,227.6,169.0,73.7,384,937,59425,26782,a,,,3.7,4.7
721,Veljko Milosavljevic,Milosavljević,Bournemouth,Defender,4.4,19,2.7,0.0,0.0,367,0,0,1,6,0,0,0,63,98.4,13.9,10.0,12.2,12,19,6385,5947,a,100.0,,-0.5,0.5
